dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST
17,0.8724524352608115,Lactobacillus_crispatus_6,25,3,6
22,0.7851632977693439,Lactobacillus_crispatus_7,25,3,7
19,0.8615226336749823,Lactobacillus_crispatus_8,25,3,8
10,0.5393181463996819,Lactobacillus_iners_1,25,3,9
3,0.6423276083559297,Lactobacillus_iners_2,25,3,10
8,0.6437070109366928,Lactobacillus_iners_4,25,3,11
14,0.732481416653051,Lactobacillus_iners_5,25,3,12
11,0.6937091744137587,Lactobacillus_iners_6,25,3,13
5,0.6012258761144627,Lactobacillus_iners_7,25,3,14
7,0.3834599655729295,UBA629_sp005465875_1,25,3,15
24,0.35553744845093355,UBA629_sp005465875_3,25,3,16
21,0.3796407402391252,UBA629_sp005465875_4,25,3,17
18,0.4658780758653562,Gardnerella_vaginalis_2,25,3,18
15,0.2719429812326088,Gardnerella_swidsinkii_1,25,3,19
16,0.26427529721869136,Gardnerella_swidsinkii_2,25,3,20
4,0.26902091647720633,Gardnerella_piotii_1,25,3,21
25,0.42457641331631196,Lactobacillus_paragasseri,25,3,22
2,0.44419793374884337,Bifidobacterium_breve_2,25,3,23
1,0.20486345389216482,MultiGenera,25,3,24
6,0.28595346517391507,MultiGenera,25,3,25
10,0.8405851111556855,Lactobacillus_crispatus_1,25,4,1
11,0.8117584386405232,Lactobacillus_crispatus_2,25,4,2
7,0.8643502635506987,Lactobacillus_crispatus_3,25,4,3
25,0.832163497025845,Lactobacillus_crispatus_4,25,4,4
30,0.8019165833754756,Lactobacillus_crispatus_5,25,4,5
20,0.8724524352608115,Lactobacillus_crispatus_6,25,4,6
29,0.7851632977693439,Lactobacillus_crispatus_7,25,4,7
23,0.8615226336749823,Lactobacillus_crispatus_8,25,4,8
16,0.6475698222098262,Lactobacillus_iners_1,25,4,9
28,0.3399071646441528,Lactobacillus_iners_1,25,4,10
8,0.7925033064856516,Lactobacillus_iners_2,25,4,11
15,0.4160064858224053,Lactobacillus_iners_2,25,4,12
5,0.6437070109366928,Lactobacillus_iners_4,25,4,13
13,0.732481416653051,Lactobacillus_iners_5,25,4,14
33,0.2740571312776832,Lactobacillus_iners_5,25,4,15
9,0.6937091744137587,Lactobacillus_iners_6,25,4,16
1,0.6012258761144627,Lactobacillus_iners_7,25,4,17
3,0.3834599655729295,UBA629_sp005465875_1,25,4,18
34,0.35553744845093355,UBA629_sp005465875_3,25,4,19
27,0.3796407402391252,UBA629_sp005465875_4,25,4,20
26,0.3457997240332236,Gardnerella_vaginalis_1,25,4,21
21,0.4658780758653562,Gardnerella_vaginalis_2,25,4,22
31,0.2637154659820307,Gardnerella_vaginalis_C_1,25,4,23
32,0.1968216844516225,Gardnerella_vaginalis_H_1,25,4,24
14,0.2719429812326088,Gardnerella_swidsinkii_1,25,4,25
18,0.26427529721869136,Gardnerella_swidsinkii_2,25,4,26
12,0.3115215944018197,Gardnerella_piotii_1,25,4,27
35,0.42457641331631196,Lactobacillus_paragasseri,25,4,28
2,0.5066357357424061,Bifidobacterium_breve_2,25,4,29
4,0.20898779101009024,MultiGenera,25,4,30
6,0.18625867858632952,MultiGenera,25,4,31
17,0.21066177664042382,MultiGenera,25,4,32
19,0.2491922146912305,MultiGenera,25,4,33
24,0.20253023835815648,MultiGenera,25,4,34
22,0.26095655833295267,Trichomonas_vaginalis,25,4,35
10,0.8405851111556855,Lactobacillus_crispatus_1,26,0,1
11,0.8117584386405232,Lactobacillus_crispatus_2,26,0,2
7,0.8643502635506987,Lactobacillus_crispatus_3,26,0,3
15,0.832163497025845,Lactobacillus_crispatus_4,26,0,4
2,0.5543876219627708,Lactobacillus_crispatus_5,26,0,5
13,0.8724524352608115,Lactobacillus_crispatus_6,26,0,6
14,0.8615226336749823,Lactobacillus_crispatus_8,26,0,7
8,0.5393181463996819,Lactobacillus_iners_1,26,0,8
4,0.6423276083559297,Lactobacillus_iners_2,26,0,9
6,0.6437070109366928,Lactobacillus_iners_4,26,0,10
12,0.732481416653051,Lactobacillus_iners_5,26,0,11
9,0.6937091744137587,Lactobacillus_iners_6,26,0,12
5,0.3834599655729295,UBA629_sp005465875_1,26,0,13
3,0.2995183160310313,Gardnerella_vaginalis_2,26,0,14
1,0.2454554787606375,MultiGenera,26,0,15
10,0.8405851111556855,Lactobacillus_crispatus_1,26,1,1
11,0.8117584386405232,Lactobacillus_crispatus_2,26,1,2
7,0.8643502635506987,Lactobacillus_crispatus_3,26,1,3
15,0.832163497025845,Lactobacillus_crispatus_4,26,1,4
17,0.8019165833754756,Lactobacillus_crispatus_5,26,1,5
13,0.8724524352608115,Lactobacillus_crispatus_6,26,1,6
16,0.7851632977693439,Lactobacillus_crispatus_7,26,1,7
14,0.8615226336749823,Lactobacillus_crispatus_8,26,1,8
8,0.5393181463996819,Lactobacillus_iners_1,26,1,9
4,0.6423276083559297,Lactobacillus_iners_2,26,1,10
6,0.6437070109366928,Lactobacillus_iners_4,26,1,11
12,0.732481416653051,Lactobacillus_iners_5,26,1,12
9,0.6937091744137587,Lactobacillus_iners_6,26,1,13
2,0.5072308267439688,Lactobacillus_iners_7,26,1,14
5,0.3834599655729295,UBA629_sp005465875_1,26,1,15
3,0.2995183160310313,Gardnerella_vaginalis_2,26,1,16
1,0.2454554787606375,MultiGenera,26,1,17
10,0.8405851111556855,Lactobacillus_crispatus_1,26,2,1
11,0.8117584386405232,Lactobacillus_crispatus_2,26,2,2
