,mgCST
MG_1062201329,mgCST 9
MG_1062201379,mgCST 9
MG_1062501159,mgCST 9
MG_1062501199,mgCST 9
MG_1062501239,mgCST 9
MG_1062501279,mgCST 9
MG_1062501369,mgCST 1
MG_1063001159,mgCST 9
MG_1063001239,mgCST 10
MG_1063001279,mgCST 10
MG_1063001329,mgCST 10
MG_1063001369,mgCST 10
MG_1063101119,mgCST 12
MG_1063101199,mgCST 12
MG_1063101279,mgCST 12
MG_1063101369,mgCST 12
MG_1063201159,mgCST 3
MG_1063201209,mgCST 3
MG_1063201249,mgCST 3
MG_1063201329,mgCST 3
MG_1063201369,mgCST 3
MG_1063601119,mgCST 10
MG_1063601179,mgCST 10
MG_1063601319,mgCST 10
MG_1063601359,mgCST 10
MG_1085RFLQV1,mgCST 11
MG_1086RFLQV1,mgCST 10
MG_1116RFLQV1,mgCST 10
MG_112477,mgCST 24
MG_112541,mgCST 24
MG_112597,mgCST 22
MG_112797,mgCST 23
MG_112861,mgCST 23
MG_112917,mgCST 23
MG_113289,mgCST 5
MG_113357,mgCST 5
MG_113597,mgCST 24
MG_113633,mgCST 10
MG_113717,mgCST 3
MG_113757,mgCST 18
MG_113853,mgCST 3
MG_114069,mgCST 22
MG_114141,mgCST 10
MG_114193,mgCST 22
MG_114717,mgCST 3
MG_114765,mgCST 3
MG_114845,mgCST 22
MG_1167RFLQV1,mgCST 8
MG_1213RFLQV1,mgCST 11
MG_1215RFLQV1,mgCST 15
MG_1238RPAPV1A1,mgCST 16
MG_1269RFLQV1,mgCST 9
MG_1286RFLQV1,mgCST 10
MG_1319RFLQV1,mgCST 16
MG_1327RFLQV1,mgCST 17
MG_1333RFLQV1,mgCST 19
MG_1368RFLQV1,mgCST 26
MG_1386RFLQV1,mgCST 19
MG_1392RFLQV1,mgCST 11
MG_1416RFLQV1,mgCST 20
MG_1425RFLQV1,mgCST 20
MG_1429RFLQV1,mgCST 14
MG_1430RFLQV1,mgCST 18
MG_1431RFLQV1,mgCST 9
MG_1469RFLQV1,mgCST 16
MG_1494RFLQV1,mgCST 19
MG_1540RFLQV1,mgCST 9
MG_1546RFLQV1,mgCST 11
MG_1567RFLQV1,mgCST 18
MG_1578RFLQV1,mgCST 11
MG_1588RFLQV1,mgCST 10
MG_1601RFLQV1,mgCST 20
MG_1618RFLQV1,mgCST 20
MG_1665RFLQV1,mgCST 7
MG_1696RFLQV1,mgCST 1
MG_1713RFLQV1,mgCST 11
MG_1721RFLQV1,mgCST 14
MG_1727RFLQV1,mgCST 19
MG_174564,mgCST 4
MG_174566,mgCST 4
MG_174616,mgCST 4
MG_174631b,mgCST 4
MG_174708,mgCST 4
MG_174722,mgCST 22
MG_174738,mgCST 20
MG_174758,mgCST 10
MG_174947,mgCST 1
MG_174962,mgCST 11
MG_174970,mgCST 9
MG_174982,mgCST 1
MG_175034,mgCST 11
MG_175058,mgCST 18
MG_175074,mgCST 11
MG_175228,mgCST 9
MG_175260,mgCST 9
MG_175318,mgCST 18
MG_175332,mgCST 18
MG_175334b,mgCST 18
MG_175380,mgCST 10
MG_175390,mgCST 10
MG_175414,mgCST 11
MG_175443,mgCST 10
MG_175476,mgCST 10
MG_175831b,mgCST 20
MG_175836,mgCST 20
MG_175878,mgCST 1
MG_175896,mgCST 1
MG_175980,mgCST 1
MG_176020,mgCST 8
MG_176076,mgCST 8
MG_176094,mgCST 8
MG_176118,mgCST 8
MG_176138,mgCST 8
MG_176541,mgCST 20
MG_176565,mgCST 26
MG_176573,mgCST 1
MG_176621,mgCST 1
MG_176621_b,mgCST 1
MG_176747,mgCST 20
MG_176795,mgCST 20
MG_176862,mgCST 11
MG_176873,mgCST 11
MG_176887,mgCST 11
MG_177065,mgCST 20
MG_177093,mgCST 20
MG_177129,mgCST 20
MG_177177,mgCST 20
MG_177694,mgCST 16
MG_177707,mgCST 16
MG_177750,mgCST 16
MG_177783,mgCST 16
MG_177847,mgCST 16
MG_177853,mgCST 18
MG_177877,mgCST 18
MG_177883,mgCST 18
MG_177897,mgCST 20
MG_177947,mgCST 18
MG_178085,mgCST 20
